,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
28,1293003191.8330674,1604226304.3518376,163356291.25326467,588256285.5312005,66816945.35999999,394791540.00000054,26.598496050572674,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.8000000000000025
29,1247064662.7652903,1646442786.045307,164622785.7040687,588256285.5312002,66816945.35999999,394791540.0000002,25.5338442634891,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.9000000000000026
30,1201126133.6975136,1688659267.7387764,165889280.15487272,588256285.5311999,66816945.35999999,394791540.0,24.534798276983082,924436497.5999998,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.000000000000003
31,1155187604.6297395,1730875749.432246,167155774.6056769,588256285.5312002,66816945.35999999,394791540.0000002,23.594959365422884,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.100000000000003
32,1109249075.5619645,1773092231.1257153,168422269.05648094,588256285.5312002,66816945.35999999,394791540.0000002,22.708735264354395,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.200000000000003
33,1063310546.4941896,1815308712.8191843,169688763.50728503,588256285.5312002,66816945.35999999,394791540.0000002,21.8712183216641,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.3000000000000025
34,1017372017.4264144,1857525194.512654,170955257.9580891,588256285.5312002,66816945.35999999,394791540.0000002,21.07808481800424,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.400000000000003
35,971433488.3586392,1899741676.2061236,172221752.4088932,588256285.5312002,66816945.35999999,394791540.0000002,20.325511336120773,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.5000000000000036
36,925494959.2908642,1941958157.8995929,173488246.85969728,588256285.5312002,66816945.35999999,394791540.0000002,19.610104941468954,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,4.600000000000003
37,883811663.0961832,1777152826.590397,147685737.0411684,533952230.9088,205727472.71999997,287273844.0,20.036326123456472,298911782.4,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,4.700000000000003
38,842666198.8043175,1814964588.8582773,148820089.90920478,533952230.90879995,205727472.71999997,287273844.0,19.358207852823384,298911782.4,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,4.800000000000003
39,801520734.512452,1852776351.1261587,149954442.77724126,533952230.9088002,205727472.71999997,287273844.0000002,18.710996825152716,298911782.4,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,4.900000000000004
40,760375270.1475674,1890588113.4611418,151088795.64729077,533952230.9088,205727472.71999997,287273844.00000006,18.092353264728402,298911782.4000001,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,5.0000000000000036
