,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
8515,590101213.2515483,881648540.6604795,99539558.05225714,432965538.5616001,236190845.88,165734910.00000012,23.635764482809883,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,2.5000000000000013
8516,551726023.7634501,916914482.2868984,100597536.3010497,432965538.5616,236190845.88,165734909.99999997,22.206051752254872,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,2.6000000000000014
8517,513350834.2753515,952180423.9133177,101655514.54984228,432965538.5616,236190845.88,165734910.00000003,20.900195724344872,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,2.7000000000000015
8518,474975644.787253,987446365.5397367,102713492.79863483,432965538.56159997,236190845.87999997,165734910.00000003,19.70114187082437,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,2.8000000000000016
8519,436600455.2991546,1022712307.166156,103771471.04742742,432965538.56159997,236190845.87999997,165734910.00000003,18.594853545301305,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,2.9000000000000017
8520,398225265.81105703,1057978248.7925752,104829449.29622,432965538.5616,236190845.88,165734909.99999997,17.56967597012029,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.0000000000000018
8521,359850076.32295877,1093244190.4189944,105887427.54501258,432965538.5616,236190845.88,165734909.99999997,16.615853215361163,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.100000000000002
8522,321474886.83486027,1128510132.0454137,106945405.79380517,432965538.5616,236190845.88,165734910.00000003,15.725157264154866,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.200000000000002
8523,283099697.3467625,1163776073.6718328,108003384.04259773,432965538.5616,236190845.88,165734910.00000006,14.890600197899385,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.300000000000002
8524,244724507.8586637,1199042015.298252,109061362.29139031,432965538.5616,236190845.88,165734910.00000003,14.106208719112235,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.400000000000002
8525,206349318.3705655,1234307956.9246714,110119340.54018289,432965538.5616,236190845.88,165734910.00000003,13.366845919065629,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.500000000000002
8526,167974128.8824674,1269573898.5510905,111177318.78897546,432965538.5616,236190845.88,165734910.00000003,12.668069204346555,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.6000000000000023
8527,129598939.39436898,1304839840.1775095,112235297.03776805,432965538.5616,236190845.88,165734910.00000003,12.006016153019349,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.7000000000000024
8528,91223749.90627137,1340105781.8039286,113293275.2865606,432965538.5616,236190845.88,165734910.00000003,11.377312130666617,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.8000000000000025
8529,52848560.41817248,1375371723.4303482,114351253.5353532,432965538.5616,236190845.88,165734910.00000003,10.778994997423608,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,3.9000000000000026
8530,14473370.930074245,1410637665.0567672,115409231.78414577,432965538.5616,236190845.88,165734910.00000003,10.20845334176177,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,4.000000000000003
8531,-23901818.558024123,1445903606.6831865,116467210.03293835,432965538.5616,236190845.88,165734910.00000003,9.663375497470206,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,4.100000000000003
8532,-62277008.046121895,1481169548.3096056,117525188.2817309,432965538.5616,236190845.88,165734910.00000003,9.141707215450378,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,4.200000000000003
8533,-100652197.5342198,1516435489.9360247,118583166.5305235,432965538.5616,236190845.88,165734910.00000003,8.641616326924106,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,4.3000000000000025
8534,-139027387.02231866,1551701431.562444,119641144.77931607,432965538.5616,236190845.88,165734910.00000003,8.161463088921895,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",190,4.400000000000003
